,full_text,favorite_count,retweet_count,created_at,user.followers_count,engagement,performance,twtlength
0,"🤔 @AdrianJClarke's main man? Gabriel Martinelli. 🇧🇷

More from Adrian in the latest episode of The Breakdown, looking at:

▪️ How City got between the lines
▪️ How our pressing cost us
▪️ Torreira's impressive application
▪️ Martinelli's fearless performance

📺 Watch now! 👇",2129,163,2019,15321087,2292,0.01,283
1,"🤝 Wishing you the best for your retirement, Philippe! 👍 https://t.co/nPnwCxgtpw",9143,745,2019,15321087,9888,0.06,79
2,"We're proud to be supporting @PoppyLegion ❤️

You can support the Poppy Appeal too - and bag yourself a match-worn, signed shirt in the process!

More information 👇",2359,184,2019,15321087,2543,0.02,168
3,"🗞 We can now confirm our #UELdraw fixture details...

🇬🇷 First leg: Olympiacos v Arsenal
🏟 Georgios Karaiskakis Stadium
🗓 Thursday, February 20
🕗 8pm KO (UK time)

🏴󠁧󠁢󠁥󠁮󠁧󠁿 Second leg: Arsenal v Olympiacos
🏟 Emirates Stadium
🗓 Thursday, February 27
🕗 8pm KO (UK time)

🏆 #UEL",4165,632,2019,15321087,4797,0.03,286
4,"The draw for the last 32 of the @EuropaLeague has taken place...

...and we'll be facing Olympiacos 🇬🇷

🏆 #UELdraw",9311,1625,2019,15321087,10936,0.07,118
5,"Freddie reflects on today's defeat 💬

#ARSMCI",2696,240,2019,15321087,2936,0.02,47
6,"Our #ArsenalNation pundits have their say on today's @premierleague defeat

#ARSMCI https://t.co/1gPoJUE5CM",680,75,2019,15321087,755,0.0,109
7,#ARSMCI,4633,685,2019,15321087,5318,0.03,7
8,"Today's final substitution...

↪️ @LTorreira34
🔛 @Joewillock

#ARSMCI 🔴 0-3 ⚫️ (81) https://t.co/ppEeiLNDMK",851,66,2019,15321087,917,0.01,112
9,"Our second change...

↪️ @MesutOzil1088
🔛 @emilesmithrowe

#ARSMCI 🔴 0-3 ⚫️ (59) https://t.co/X9AuSpC3h3",2013,148,2019,15321087,2161,0.01,109
10,"Back underway at the Emirates

#ARSMCI",963,87,2019,15321087,1050,0.01,40
11,"Down at the break.

#ARSMCI",5146,574,2019,15321087,5720,0.04,29
12,"We've been forced into our first substitution...

↪️ @seadk6
🔛 @BukayoSaka87

#ARSMCI 🔴 0-3 ⚫️ (41) https://t.co/j3aj86pHMQ",930,104,2019,15321087,1034,0.01,128
13,"Goal for Manchester City - Kevin de Bruyne scores.

#ARSMCI 🔴 0-3 ⚫️ (40)",4390,650,2019,15321087,5040,0.03,75
14,"Raheem Sterling doubles City's lead.

#ARSMCI 🔴 0-2 ⚫️ (15)",3817,555,2019,15321087,4372,0.03,61
15,"Goal for Manchester City - Kevin de Bruyne is the scorer.

#ARSMCI 🔴 0-1 ⚫️ (2)",3746,624,2019,15321087,4370,0.03,81
16,"Underway in north London ✅

We've got all the live coverage you need of today's @premierleague game 💻📱

Tune in now for free audio commentary 👇",599,86,2019,15321087,685,0.0,147
17,"3️⃣0️⃣ minutes to go...

Let's make it count 💪

#ARSMCI https://t.co/t2EvfwMo2J",3339,405,2019,15321087,3744,0.02,83
18,"#ArsenalNation is live in five! 📺

Get all the build-up to #ARSMCI with @KenzieBenali, @iJohnnyCochrane and Jeremie Aliadiere 👇",497,48,2019,15321087,545,0.0,129
19,"🚨 Two changes from Monday night 🚨

➡️ @seadk6 &amp; @MatteoGuendouzi
⬅️ @kierantierney1 &amp; Granit Xhaka

#ARSMCI",11462,3098,2019,15321087,14560,0.1,120
20,"📍 Emirates Stadium
🔜 #ARSMCI

How would you like to see us line up this afternoon? https://t.co/r01zdqDStK",3260,428,2019,15321087,3688,0.02,109
21,"Our #ARSMCI programme 📕

And 50p from every sale goes to @AFC_Foundation 🤝

Get your own copy 👇",987,93,2019,15321087,1080,0.01,99
22,"⏪ Last time out in the @premierleague...

That goal and celebration from Nico 😍

#ARSMCI https://t.co/nt26gLHgic",4480,398,2019,15321087,4878,0.03,116
23,"🎄 It’s day two of our Christmas Countdown 🎁

Don’t miss your chance to win! 👇",954,82,2019,15321087,1036,0.01,79
24,"🔴 @Arsenal x @AFC_Foundation ❤️

#ARSMCI https://t.co/IlTk1Oo7lT",5258,455,2019,15321087,5713,0.04,66
25,"We're proud to support @AFC_Foundation at #ARSMCI ❤️

With everyone giving together this year – we can do even more 👇",3265,246,2019,15321087,3511,0.02,119
26,"Back to it 💪

🆚 @ManCity
🏆 @premierleague
🏟 Emirates Stadium
🕟 4.30pm (UK)

#️⃣ #ARSMCI https://t.co/pJX30g5XTM",5776,861,2019,15321087,6637,0.04,118
27,"🇺🇾 @LTorreira34 

🔜 #ARSMCI https://t.co/9m6K2Qz4KT",8157,402,2019,15321087,8559,0.06,53
28,"📸 Want more photos from our final session before #ARSMCI?

👇 Head right this way...",4196,280,2019,15321087,4476,0.03,85
29,"🇧🇷🤙

🔜 #ARSMCI https://t.co/lFh4CNnhVX",13952,1068,2019,15321087,15020,0.1,40
30,🗞 Here's our latest team news update ahead of #ARSMCI 👇,3590,364,2019,15321087,3954,0.03,55
31,"🆚 #ARSMCI this weekend
🔙 in @premierleague action

👑 @ThierryHenry https://t.co/7Wd65re5NU",8717,880,2019,15321087,9597,0.06,93
32,"🌟 OUR TOP FIVE GOALS OF 2019 🌟

Here's the shortlist - now it's time for you to tell us your favourite... https://t.co/WcF0OghZKK",7878,1144,2019,15321087,9022,0.06,131
33,"🎁 We're giving away prizes every day for the next 12 days!

🎄 The Christmas Countdown has started - and today's prize is a squad-signed home shirt! 🤩",1851,165,2019,15321087,2016,0.01,151
34,It's true. 💯 https://t.co/Xx847S9bDa,14609,1733,2019,15321087,16342,0.11,36
35,"Give us your answers to the below:

My favourite memories of Santi Cazorla are ___________

❤️ @19SCazorla https://t.co/gMRnstShPS",12962,1270,2019,15321087,14232,0.09,134
36,"🎶 ""Ohhh, Santi Cazorla!"" 🎶

Santi turns 35 today - and we're wishing him a very happy birthday! 🎈

🇪🇸 ¡Feliz cumpleaños, @19SCazorla! 🥳 https://t.co/X1hLwdE5hJ",28698,4068,2019,15321087,32766,0.21,163
37,"💬 ""It was beautiful for me... to score and to make one is a good night.""

👏 @BukayoSaka87

🏆 #UEL",3422,209,2019,15321087,3631,0.02,101
38,🗞 Read @Freddie's reaction to tonight's result in the #UEL 👇,1512,128,2019,15321087,1640,0.01,60
39,"🤳 ""Thank you to all the travelling fans for coming out tonight. We'll see you in the next round.""

@BukayoSaka87 with a message for the fans in Liege...

🏆 #UEL https://t.co/g2Kuh6Ksoa",9574,715,2019,15321087,10289,0.07,188
40,"🔢 Confirmation of how Group F finished up

🏆 #UEL https://t.co/Kmth2kBEvm",7052,966,2019,15321087,8018,0.05,75
