,full_text,favorite_count,retweet_count,created_at,user.followers_count,engagement,performance
0,"¡Campeonísimo por siempre!
🇱🇺🇱🇺🇱🇺🇱🇺

1982🏆
1984🏆
1992🏆
2019🏆

#ElMásGrandeDeCa https://t.co/H6AoS2Ipkx",151,38,2019,196452,189,0.1
1,"El dia de ayer recibimos la visita de ""La Academia"" escuela de futbol desde Guatemala visitando el entrenamiento del Campeonísimo. 3️⃣1️⃣🏆 https://t.co/vnN8vdj9bw",152,20,2019,196452,172,0.09
2,"¡Vamos Campeón! 💪😥🏆3️⃣1️⃣

#YoSoyOlimpia 🔴⚪🔵 https://t.co/YbXx8TbH3i",333,35,2019,196452,368,0.19
3,"¡Feliz inicio de semana Campeones! ☝️💪🏆

Les dejamos este Pedro Troglio para que sea una semana cargada de éxitos. 3️⃣1️⃣

#SomosOlimpia 🔴⚪🔵 https://t.co/BBsMXgs1sv",464,49,2019,196452,513,0.26
4,"Hace una semana ⏮️⏮️🏆

¡Campeonisimos! 3️⃣1️⃣🔴⚪🔵 https://t.co/amq6W84INi",484,100,2019,196452,584,0.3
5,"El Campeonísimo no descansa.
🔥💪3️⃣1️⃣ https://t.co/J2WLkURU5V",353,39,2019,196452,392,0.2
6,"Firma de autografos.✍️

Olimpia-Umbro Diunsa Miraflores, Tegucigalpa.3️⃣1️⃣ @umbro

#SomosOlimpia 🔴⚪🔵
#SomosFamilia 👨‍👩‍👧‍👦 https://t.co/8FwcPfCJsY",211,18,2019,196452,229,0.12
7,¡Feliz domingo Campeonísimos! 3️⃣1️⃣🏆 https://t.co/JMaZLcPWZz,843,85,2019,196452,928,0.47
8,"Declaraciones de nuestro DT. Pedro Troglio en donde habla de varios temas, entre ellos su permanencia y la situación del Estadio Nacional de Tegucigalpa.

#SomosOlimpia https://t.co/1m5kRoE0G8",340,51,2019,196452,391,0.2
9,"Carta del presidente de @FIFAcom Gianni Infantino, felicitando al Club Olimpia por la obtención de la 3️⃣1️⃣.

#SomosOlimpia
#SomosFamilia https://t.co/RhvqwUE2MR",639,149,2019,196452,788,0.4
10,"Jose Rafael Ferrari Eterno 🙏

3️⃣1️⃣🏆🦁🎖️🔴⚪🔵 https://t.co/BFAXc56QUe",572,89,2019,196452,661,0.34
11,"¡Olimpista! 🦁 El Campeonísimo mañana estará firmando autografos✍️en Diunsa Miraflores.

3️⃣1️⃣ https://t.co/TKcSLeLqlI",296,37,2019,196452,333,0.17
12,"🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆3️⃣1️⃣

#ElMásGrandeDeCa https://t.co/DkLtzo2Pa8",698,141,2019,196452,839,0.43
13,El brindis de la 31.🥂🍷🍾 https://t.co/qNWJuS7DTU,498,63,2019,196452,561,0.29
14,"1- El Domingo:🎉📷🏆🥇
2- Hoy:😑😥😓😵💪

#SomosOlimpia 3️⃣1️⃣ https://t.co/E7Q7IhOozb",582,57,2019,196452,639,0.33
15,"La galería 📷 del Campeón🏆 encontrala completa en la Web oficial. 3️⃣1️⃣

https://t.co/b3QAzgz84x https://t.co/yE8fl3crsM",382,63,2019,196452,445,0.23
16,Ponele titulo a la postal. ✍️3️⃣1️⃣ https://t.co/rXRHzynXoF,612,44,2019,196452,656,0.33
17,"🎥La historia de la 31🏆 ya esta en el canal de Youtube del Club Olimpia.🦁

Entra y suscribite.🔔

https://t.co/xBrMvm0Hod",310,76,2019,196452,386,0.2
18,"El reconocimiento a Jorge el ""Indio"" Urquia. 9️⃣

Leyenda histórica de nuestro Club.

#SomosOlimpia 🇱🇺3️⃣1️⃣ https://t.co/dOTabNdsmL",527,70,2019,196452,597,0.3
19,"¡Somos Olimpia! 3️⃣1️⃣🇱🇺

@TheChampions https://t.co/7nnKiZk6Rs",605,85,2019,196452,690,0.35
20,"Olimpia enfrentará a Seattle Sounders FC en la próxima edición de la Scotiabank Concacaf Champions League. 💪

#SomosOlimpia #SCCL2020 

¿Qué te parece el rival? https://t.co/6bm6Ne5Ggw",809,160,2019,196452,969,0.49
21,¡La mejor afición de Centroamérica! 3️⃣1️⃣🎉👏🎖️ https://t.co/EDn8wFsLeH,555,92,2019,196452,647,0.33
22,"La Copa volvió a casa. 🏆👏🔴🔵⚪

#SomosOlimpia
#SomosFamilia https://t.co/OPDGmcETDn",1132,223,2019,196452,1355,0.69
23,"¡Buenos dias Campeonisimos!

🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆3️⃣1️⃣

¡Juntos, siempre juntos! 🇱🇺🦁🥇 https://t.co/wjXVVNsH4X",990,172,2019,196452,1162,0.59
24,"....y ahora, ¡a celebrar! 🎉

#bai https://t.co/S9zSrfpLsO",679,100,2019,196452,779,0.4
25,"Unas cuantas imágenes de esta merecida celebración, 🎉 ¡somos CAMPEONES!

🔴🔵⚪ #SomosOlimpia https://t.co/620QohQPhO",679,107,2019,196452,786,0.4
26,👏🏼 ¡Muchas gracias! https://t.co/sjA6pd7DJa,964,81,2019,196452,1045,0.53
27,✌🏼👍🏼 https://t.co/V28lSNPepd,1009,129,2019,196452,1138,0.58
28,¡Campeonisimos! 🏆 https://t.co/bBsLjTLxHd,2169,692,2019,196452,2861,1.46
29,"¡Rey por siempre! 🏆🎖️🥇🏆🎉

#ElMásGrandeDeCa https://t.co/qhR7vEU7wR",1468,386,2019,196452,1854,0.94
30,"!Somos CAMPEONES! 

⚪🔵🔴🏆🎉

#Campeones #SomosOlimpia #ElMásGrandeDeCA https://t.co/QVC5bVoqEQ",1821,761,2019,196452,2582,1.31
31,"¡Finaliza el partido en Tegucigalpa con el gane para Olimpia!🦁

Olimpia 4 - 0 Marathon🦖
Goles de:

Jerry Bengston
Jorge Bengúche
Matías Garrido
Eddie Hernández

#SomosOlimpia 🔴⚪🔵
#LigaSalvaVida https://t.co/VW42INocj2",514,151,2019,196452,665,0.34
32,"⏰89” GOOOOOOOOOOOOL
¡Goooooooooooooooooooool!
 
¡Hernández mete el cuarto para el león!

🦁Olimpia 4 - 0 Marathon🦖

#SomosOlimpia 🔴⚪🔵
#LigaSalvaVida https://t.co/VburT0bmrR",258,61,2019,196452,319,0.16
33,"⏰84” Cambio en el Olimpia:
______
☑ Entra:  E. Hernández
❎Sale:   J. Bengúche
______

#SomosOlimpia 🔴⚪🔵
#LigaSalvaVida https://t.co/XLYpwSnjkd",56,2,2019,196452,58,0.03
34,"⏰76” GOOOOOOOOOOOOL
¡Goooooooooooooooooooool!
 
¡Matías Garrido mete el tercero de penal!

🦁Olimpia 3 - 0 Marathon🦖 https://t.co/FHmA9iVYKL",389,80,2019,196452,469,0.24
35,"⏰74”¡Penal para el Olimpia contra Junior Lacayo!

Tarjeta amarilla para Solani Solano.

🦁Olimpia 2 - 0 Marathon🦖

#SomosOlimpia
#LigaSalvaVida",77,5,2019,196452,82,0.04
36,"¡Termina el primer tiempo en Tegucigalpa!

🦁Olimpia 2 - 0 Marathon🦖

#SomosOlimpia
#LigaSalvaVida https://t.co/dEboh4HEsM",190,19,2019,196452,209,0.11
37,"⏰44” GOOOOOOOOOOOOL
¡Goooooooooooooooooooool!
 
¡El Toro Bengúche mete el segundo!

🦁Olimpia 2 - 0 Marathon🦖

#SomosOlimpia
#LigaSalvaVida https://t.co/rNBIQlMv3G",303,58,2019,196452,361,0.18
38,"⏰31” GOOOOOOOOOOOOL
¡Goooooooooooooooooooool!
 
¡Jerry bengston mete el penal!

🦁Olimpia 1 - 0 Marathon🦖

#SomosOlimpia
#LigaSalvaVida https://t.co/m7YfYuACML",335,79,2019,196452,414,0.21
39,"¡Penaaaal para el Olimpia contra Jerry Bengston!

#SomosOlimpia
#LigaSalvaVida",86,7,2019,196452,93,0.05
40,"🕐Inicia el partido en el Nacional 🏟️:

🦁Olimpia  -  Marathon🦖

#SomosOlimpia
#LigaSalvaVida https://t.co/Hfp0ACOxUH",105,6,2019,196452,111,0.06
41,"Así sale hoy el león🦁 esta tarde ante @CDMarathon

#SomosOlimpia
#LigaSalvaVida https://t.co/RJY9vAnSh2",246,46,2019,196452,292,0.15
