,full_text,favorite_count,retweet_count,created_at,user.followers_count,engagement,performance,twtlength
0,https://t.co/r3Ze9AoS7w,18211,1797,2019,29435506,20008,0.07,23
1,https://t.co/CgPA4U0Wqo,38302,10274,2019,29435506,48576,0.17,23
2,https://t.co/fIHtyy3OMy,52229,5743,2019,29435506,57972,0.2,23
3,https://t.co/YuBbMweeeG,17739,1928,2019,29435506,19667,0.07,23
4,https://t.co/mkKFKNaCI0,10430,1084,2019,29435506,11514,0.04,23
5,https://t.co/JFvwOn7rKz,9431,922,2019,29435506,10353,0.04,23
6,https://t.co/rUoN7xv6L3,11659,1145,2019,29435506,12804,0.04,23
7,https://t.co/WEZSYGCkUr,8544,813,2019,29435506,9357,0.03,23
8,https://t.co/njow7ocGDu,11283,1117,2019,29435506,12400,0.04,23
9,https://t.co/kPNEdWFc6m,9064,834,2019,29435506,9898,0.03,23
10,https://t.co/ZS5lIHZwEJ,9524,976,2019,29435506,10500,0.04,23
11,https://t.co/f7De3vYAXY,12705,1414,2019,29435506,14119,0.05,23
12,https://t.co/gruZHfCJkM,9195,887,2019,29435506,10082,0.03,23
13,https://t.co/87tzdlkeUv,20661,2097,2019,29435506,22758,0.08,23
14,reading from the book of Daniel https://t.co/GHmLTWa7iS,50091,4861,2019,29435506,54952,0.19,55
15,Fam pulling up https://t.co/8BLUQubN4B,113195,6440,2019,29435506,119635,0.41,38
16,https://t.co/IBOwJjgKai,41144,4815,2019,29435506,45959,0.16,23
17,Vanessa Beecroft 11 24 19 https://t.co/y0lKkLVo60,28694,1724,2019,29435506,30418,0.1,49
18,Ye and Dre Jesus is King Part II coming soon. https://t.co/wTKFgXQQXQ,340002,67532,2019,29435506,407534,1.38,69
19,Invite artwork by Nick Knight https://t.co/U7IBqe1Gxk,47093,5672,2019,29435506,52765,0.18,53
20,"""FOLLOW GOD"" 

https://t.co/e3SRwWExir https://t.co/Pqy7qvc0aB",80112,13946,2019,29435506,94058,0.32,64
