,full_text,favorite_count,retweet_count,created_at,user.followers_count,engagement,performance,twtlength
0,✨ https://t.co/KYGI6Afj7F,40177,3087,2019,62585118,43264,0.07,25
1,✨ https://t.co/iDaxejM0Pi,16912,1426,2019,62585118,18338,0.03,25
2,Date Night https://t.co/0OvjobOtiM,22752,1664,2019,62585118,24416,0.04,34
3,Diddy’s 50th Birthday ✨ https://t.co/0sZUuFyrUf,67927,3905,2019,62585118,71832,0.11,47
4,"Had so much fun on the @theellenshow’s 12 Days of Giveaways! We surprised the audience with gifts from @kkwbeauty @KKWFRAGRANCE courtesy of @ultabeauty, @skims and a last minute surprise from my husband @kanyewest! Tune in today at 3pm PST 🎁🎄 https://t.co/c0LaY88kHX",5237,240,2019,62585118,5477,0.01,266
5,Shop the new @skims Sleep Collection now at https://t.co/Qsy51Sl2Sd! I can’t wait for you to try my favorite pajamas. 💤 https://t.co/yYOJTVpZnj,5288,324,2019,62585118,5612,0.01,143
6,Our season finale of Keeping Up With the Kardashians airs tonight on E! This dinner where we all dress up and act like each other is legendary! You don’t want to miss it! https://t.co/dTCx4R1LXw,66428,3231,2019,62585118,69659,0.11,194
7,"Text KKWB to 72716 to receive  @kkwbeauty text updates about restocks, promotions, new launches and more! https://t.co/mbTZpQW5QG",2193,127,2019,62585118,2320,0.0,129
8,The @KKWFRAGRANCE Crystal Pear &amp; Peony fragrance is now available exclusively in-store and online at @ultabeauty! I love this spirited oriental scent - and it makes a great holiday gift! 🍐 https://t.co/W7KmIQiEbG,3370,181,2019,62585118,3551,0.01,216
9,Don’t miss the Keeping Up with Kardashians season finale tonight! 9/8c on E! @KUWTK https://t.co/lpV0r6PzzS,3985,257,2019,62585118,4242,0.01,107
10,✨ https://t.co/GfOnfzEU0T,98639,6422,2019,62585118,105061,0.17,25
11,Diddy’s 50th https://t.co/nSzBgaR7fx,301687,22278,2019,62585118,323965,0.52,36
12,Tonight ✨ https://t.co/Hj2o6dqKEL,21031,1120,2019,62585118,22151,0.04,33
13,✨ https://t.co/oIcZj7iXzH,58305,3654,2019,62585118,61959,0.1,25
14,Not a drop of body make up on my cream Vivienne Westwood gown THANK GOD! https://t.co/137eCkwyZK,9488,375,2019,62585118,9863,0.02,96
15,Feeling glam tonight https://t.co/8Zt4aL61X0,107032,7935,2019,62585118,114967,0.18,44
16,The West Family Christmas Card 2019 https://t.co/0rjGXxiWD1,656307,88663,2019,62585118,744970,1.19,59
17,"The @skims Cozy Collection is restocking just in time for the Holidays! It sold out quickly last time, so join the waitlist at https://t.co/Qsy51S3rtD to get first access! The restock will be available 12.16 at 9AM PST https://t.co/iWnFMmq5xf",3816,215,2019,62585118,4031,0.01,242
18,My girls!!!!! Everyone please watch this! They have been working so hard and deserve all of this shine!!! ✨🙏🏼✨ everyone go check out these warriors!!!! https://t.co/NjqCAw89uY,2835,241,2019,62585118,3076,0.0,175
19,Yes!!! https://t.co/rHf2K4E1TN,1290,63,2019,62585118,1353,0.0,30
20,✨🙏🏼✨ https://t.co/rjRCGGm1m8,2312,160,2019,62585118,2472,0.0,28
21,"Everyone has a story to tell. This Holiday Season, we’re giving our platform over to women whose stories inspire us and supporting the causes that inspire them.

https://t.co/7gOEFpwWyG",2243,176,2019,62585118,2419,0.0,187
22,"I’m so excited for another @skims launch... the Sleep Collection!! The jersey fabric is comfortable &amp; breathable, I’m always sleeping in these now. 😴 See the full collection and join the waitlist at https://t.co/Qsy51S3rtD to be the first to shop! Available on 12.16 at 9am PST. https://t.co/Nf6qc4A0vc",3537,200,2019,62585118,3737,0.01,306
23,"Smart video calling from @PortalFacebook means @Jlo can help me study for law school from the other side of the country, even if she has some distractions on her end... looking at you @Arod! #FeelThere #PortalPartner https://t.co/W52DSoUXyY https://t.co/meSjpymkoX",5718,438,2019,62585118,6156,0.01,264
24,Stormi loves my Psalmy so much! https://t.co/TOgLJkLnht,217896,9962,2019,62585118,227858,0.36,55
25,So happy you like it ✨ https://t.co/nclRvUJUYh,2328,78,2019,62585118,2406,0.0,46
26,The @skims Waist Trainer is restocked now! Shop at https://t.co/Qsy51S3rtD before it sells out. https://t.co/MgMthbAKhG,2898,153,2019,62585118,3051,0.0,119
27,I’m happy David Sheppard can go home and make the most of the opportunity for a 2nd chance!!! 🙏🏼 https://t.co/eD6XuD9e4v,12331,668,2019,62585118,12999,0.02,120
28,Remember I spoke about David Sheppard a few days ago??? Well he’s finally home after more than 30 years! I can’t wait to share his journey with you all on my documentary coming in 2020 on @oxygen,6757,351,2019,62585118,7108,0.01,195
29,"Exactly what Brandon said!!!! NO ONE from I’m A Celeb even reached out and asked for letters, appearances or anything from any Kardashians or Jenners. https://t.co/dlzoodwDiz",53238,2948,2019,62585118,56186,0.09,174
30,"The @SKIMS Waist Trainer restock is coming tomorrow, 12.11 at 9AM PST. Join the waitlist now at https://t.co/Qsy51S3rtD to be the first to shop! https://t.co/WbPfxz1DJN",3952,214,2019,62585118,4166,0.01,168
31,The @kkwbeauty Glitz &amp; Glam Collection — Gold Sparkle is one of my all-time favorite glosses! Shop it now at https://t.co/PoBZ3bhjs8 https://t.co/vrkfURCIae,2710,153,2019,62585118,2863,0.0,160
32,"Make sure to stay tuned to @SKIMS for the restock date. We will have some new news for you this week. 

Xo Kim",2038,97,2019,62585118,2135,0.0,112
33,I highly recommend joining the waitlist at https://t.co/8MYenT97Ii to receive early access to shop the collection before the widely publicized launch time to give yourself the best chance at purchasing before the specific items that you want sell out.,1059,71,2019,62585118,1130,0.0,251
34,I understand many of you weren’t able to get the @SKIMS Cozy Collection before it sold out within minutes today. We’re working very hard to restock the entire Cozy collection so everyone can have it before the Holidays and will give you another chance to buy soon.,4998,169,2019,62585118,5167,0.01,264
35,Make sure if you have joined our @skims wait list you go to https://t.co/qc7FuvGMzo because you can buy the cozy collection now even though it’s not live yet! Our wait list costumers get early access to all drops,1336,90,2019,62585118,1426,0.0,212
36,🙋🏻‍♀️ https://t.co/xsc0R7DDdh,2236,81,2019,62585118,2317,0.0,29
37,That’s basically what this episode is all about!!! 🤦🏻‍♀️🤷🏻‍♀️ https://t.co/eHiPwWH3Lh,4463,153,2019,62585118,4616,0.01,85
38,SAME https://t.co/CE0fHs5doW,1648,69,2019,62585118,1717,0.0,28
39,Watch a brand new Keeping Up tonight at 9/8c on E! #KUWTK https://t.co/4YxFstN9sh,4697,295,2019,62585118,4992,0.01,81
40,✨🙏🏼 https://t.co/EUhYwrYZvg,2510,192,2019,62585118,2702,0.0,27
41,Chicago in Tokyo https://t.co/9EMPTSkL4h,190749,10219,2019,62585118,200968,0.32,40
42,2 days until the @skims Cozy Collection! Join the waitlist now at https://t.co/Qsy51Sl2Sd https://t.co/k3IwYpiBiy,5544,246,2019,62585118,5790,0.01,113
43,It’s imperative that the judge corrects this wrong on Monday so he can regain the freedom he so rightfully deserves,3175,185,2019,62585118,3360,0.01,115
44,"David Sheppard should have been reunited with his family, but he remains in custody and must appear in court on Monday in Delaware County",2860,247,2019,62585118,3107,0.0,137
45,This is sheer abuse of prosecutorial authority on the part of the district attorney’s office and a shameful waste of public resources,5707,335,2019,62585118,6042,0.01,133
46,This morning after serving 25yrs David Sheppard was due to be released - instead he remains in custody over a 30yr old shoplifting case,5812,459,2019,62585118,6271,0.01,135
47,https://t.co/hq6VQv2357,1029,157,2019,62585118,1186,0.0,23
48,"I’m so excited to announce my holiday exclusive fragrance ULTA Crystal Pear &amp; Peony. The scent is sweet &amp; has notes of winter vanilla crème, golden amber crystal, sparkling peony blossoms &amp; sugar-coated bergamot. The fragrance is $35 and now available online only at @ultabeauty. https://t.co/h4bHOS4M4N",2419,132,2019,62585118,2551,0.0,315
49,Only a few hours until the @kkwbeauty  Glitz &amp; Glam collection launches! Can’t wait for you to try the party-perfect essentials just in time for the holidays ✨ Shop it at 12PM PST at https://t.co/PoBZ3byUQI https://t.co/kMoyXY3deO,1909,119,2019,62585118,2028,0.0,234
50,It doesn’t get much sweeter than this https://t.co/0X8y7yMzuI,280984,30048,2019,62585118,311032,0.5,61
