,full_text,favorite_count,retweet_count,created_at,user.followers_count,engagement,performance,twtlength
0,"Democrat “leadership,” despite their denials, are putting tremendous pressure on their members to vote yes on this ridiculous Impeachment. If they vote yes, it will be much easier for Republicans to win in 2020!",42155,11552,2019,67625690,53707,0.08,211
1,"Wow! “In a stunning rebuke of the FBI, the FISA court severly chastised the FBI for the FISA abuses brought to light in the recent Inspector General’s Report. There were at least 17 significant errors.” @FoxNews Statement by the Court was long and tough. Means my case was a SCAM!",51700,16370,2019,67625690,68070,0.1,280
2,https://t.co/WzLB5s41m3,43049,10887,2019,67625690,53936,0.08,23
3,Senator Dan Sullivan is doing a great job for the people of Alaska while supporting our #MAGA Agenda. He fights hard everyday to support our Veterans and the Military. Dan is Strong on the #2A and is 100% pro-jobs. I give Dan Sullivan my Complete and Total Endorsement!,31008,8385,2019,67625690,39393,0.06,269
4,".@Buddy_Carter is a BUSINESSMAN first. He takes care of our Vets and Troops and is leading the fight to SLASH drug prices! Buddy's 100% pro-Wall &amp; 100% pro-jobs. He will KEEP AMERICA GREAT and has my total, Strong Endorsement!",24855,6959,2019,67625690,31814,0.05,230
5,"Congressman @Denver4VA Riggleman is a true CONSERVATIVE leader who has done a great job for Virginia and will support our #MAGA Agenda. He defends our right to bear arms, protect our Borders &amp; help small businesses. Denver has my Total Endorsement!",21807,6338,2019,67625690,28145,0.04,252
6,"Congressman @MarkwayneMullin is a big time #MAGA supporter! Markwayne has fought hard for Oklahoma Veterans and Military, he loves our Farmers and he’s Strong on Border Security. I give Markwayne my Complete and Total Endorsement!",20375,5884,2019,67625690,26259,0.04,230
7,Congresswoman Kay @GrangerCampaign has worked hard for Texas and been a strong supporter of our #MAGA Agenda. She’s strong on #2A and Securing our Border and is 100% pro-life. Kay has my Complete and Total Endorsement!,23125,6692,2019,67625690,29817,0.04,218
8,We support @JeanineAnez in Bolivia as she works to ensure a peaceful democratic transition through free elections. We denounce the ongoing violence and those that provoke it both in Bolivia and from afar. The U.S. stands with the people of the region for peace and democracy!,48531,12258,2019,67625690,60789,0.09,275
9,"Senator Josh Hawley (R-Mo) “They (the Dems) don’t have anything. This whole thing is a joke, and it’s time to get the President exonerated. The House has no evidence of any impeachable offense. There’s nothing there, and they didn’t even charge a crime. They’ve had their.....",51388,14596,2019,67625690,65984,0.1,276
10,Would be sooo great if the Fed would further lower interest rates and quantitative ease. The Dollar is very strong against other currencies and there is almost no inflation. This is the time to do it. Exports would zoom!,72129,17738,2019,67625690,89867,0.13,220
11,"The new USA Today Poll, just out, has me leading all of the Democrat contenders. That’s hard to believe since the Fake News &amp; 3 year Scams and Witch Hunts, as phony as they are, just never seem to end. The American people are smart. They see the great economy, &amp; everything else!",64538,16668,2019,67625690,81206,0.12,287
12,Impeachment Poll numbers are starting to drop like a rock now that people are understanding better what this whole Democrat Scam is all about!,81692,18726,2019,67625690,100418,0.15,142
13,".@FoxNews  “Trump wins major victories in China and USMCA trade deals, defense spending and Space Force.” Thank you!",46933,11636,2019,67625690,58569,0.09,116
14,"The Stock Market hit another Record High yesterday, number 133 in less than three years as your all time favorite President, and the Radical Left, Do Nothing Democrats, want to impeach me. Don’t worry, I have done nothing wrong. Actually, they have!",67498,16494,2019,67625690,83992,0.12,249
15,Congressman Jeff Van Drew is very popular in our great and very united Republican Party. It was a tribute to him that he was able to win his heavily Republican district as a Democrat. People like that are not easily replaceable!,76618,16039,2019,67625690,92657,0.14,228
16,https://t.co/YLmzkgro4d,86786,22848,2019,67625690,109634,0.16,23
17,https://t.co/Kd1RSELPLp,43765,13556,2019,67625690,57321,0.08,23
18,New Stock Market high! I will never get bored of telling you that – and we will never get tired of winning!,158153,33505,2019,67625690,191658,0.28,107
19,Wow! https://t.co/gYGUEKpGac,64703,23237,2019,67625690,87940,0.13,28
20,Thank you Devin. Great reflexes! https://t.co/46jb64LalD,50396,11552,2019,67625690,61948,0.09,56
21,Thank you CC! https://t.co/qfagL6s78G,27313,7354,2019,67625690,34667,0.05,37
22,"I look very much forward to debating whoever the lucky person is who stumbles across the finish line in the little watched Do Nothing Democrat Debates. My record is so good on the Economy and all else, including debating, that perhaps I would consider more than 3 debates.....",81470,18094,2019,67625690,99564,0.15,276
23,"READ THE TRANSCRIPTS! The Impeachment Hoax is the greatest con job in the history of American politics! The Fake News Media, and their partner, the Democrat Party, are working overtime to make life for the United Republican Party, and all it stands for, as difficult as possible!",79519,20402,2019,67625690,99921,0.15,279
24,“The American people see through it.” https://t.co/1WTujQY7e6,58657,15448,2019,67625690,74105,0.11,61
25,"“Here in America it will be the same victory as BREXIT, but even more so. In the U.S., while all of this has been going on, the Impeachment, the obstruction, the resistance, President Trump has managed to deliver not just promises, but a record which adds up to one.....",70377,18001,2019,67625690,88378,0.13,270
26,Watch these two great people talk about the Impeachment Hoax. Will be by far the best hour on television! https://t.co/O8VmH3ipkw,54517,14551,2019,67625690,69068,0.1,129
27,Congressional Do Nothing Democrats are being absolutely decimated in their districts on the subject of the Impeachment Hoax. People that voted for them are literally screaming in their faces. Crazy Nancy is finding defending Shifty Schiff harder than she thought! #2020Election,79515,21999,2019,67625690,101514,0.15,277
28,"Because Nancy’s teeth were falling out of her mouth, and she didn’t have time to think! https://t.co/rx3pcyofip",107790,26705,2019,67625690,134495,0.2,111
29,Fake News! https://t.co/NWaeaG1exu,44643,12858,2019,67625690,57501,0.09,34
30,".@seanhannity, who will be interviewed on @marklevinshow tonight at 8:00 P.M., @foxnews, stated about the Impeachment Hoax, “This is outrages lying, corruption and propaganda. Should never be allowed to happen.”",48558,12514,2019,67625690,61072,0.09,211
31,"Approval Rating in Republican Party = 95%, a Record! Overall Approval Rating = 51%. Think of where I’d be without the never ending, 24 hour a day, phony Witch Hunt, that started 3 years ago!",93266,21056,2019,67625690,114322,0.17,190
