,full_text,favorite_count,retweet_count,created_at,user.followers_count,engagement,performance,twtlength
0,"La noche del gol me está dando vida ahorita😂.

@DeportesTVC",73,3,2019,1898,76,4.0,61
1,ENORME TEOFIMO🇭🇳.,40,5,2019,1898,45,2.37,17
2,Se me quemaron los ojos PORQUE EL FUTURO BRILLAAAA🏆🐾🦁 https://t.co/hWlmD4zrW8,118,8,2019,1898,126,6.64,77
3,Esoooo👍🏼 https://t.co/4xAe5CMRkI,52,6,2019,1898,58,3.06,32
4,"Presidente Eterno.

🖥: @Matamorosfilms https://t.co/VIZimNcvzc",173,41,2019,1898,214,11.28,64
5,Rey de Copas🥂🏆 https://t.co/Qi0OD22Oi0,153,18,2019,1898,171,9.01,38
6,Muy orgulloso de mis amigos de El Milenio. ¡Que excelente iniciativa para que los niños de Olancho tengan una linda navidad🎄! https://t.co/DbiSLStNgf,29,4,2019,1898,33,1.74,149
7,"31 sabores de Baskin Robins, cuál es tu favorito? https://t.co/w9h0f9dl5x",168,17,2019,1898,185,9.75,73
8,"Por los millones de Olimpistas por el mundo, nos vieron volver🏆

¡Juntos! ¡SIEMPRE JUNTOS! https://t.co/x6KLfHnUMG",364,59,2019,1898,423,22.29,116
9,UNA BLANCA NAVIDAD!!! https://t.co/3QUhXvUEHD,307,49,2019,1898,356,18.76,45
10,YA SE ACERCA NOCHE BUENA! YA SE ACERCA NAVIDAD!,176,19,2019,1898,195,10.27,47
11,"Somos uno. Y sabé que pase lo que pase, JAMÁS jugaras en silencio.

Es hoy Olimpia, que nos escuche toda Honduras. ¡JUNTOS! ¡SIEMPRE JUNTOS! ❤️💙 https://t.co/fWdrOLfVa3",233,38,2019,1898,271,14.28,170
12,"Mañana vas con la blanca, la roja... Negra? La del 2003 con AT&amp;T de spónsor. Mañana cada quién juega su propia cábala desde temprano antes de ir al estadio. 

Buenas noches Olimpismo. Que lo recordemos siempre🦁🇳🇱. https://t.co/Oo4PR3bRP7",169,17,2019,1898,186,9.8,243
13,"¡El Domingo por la 31!
¡El Domingo por la 31!
¡El Domingo por la 31!

VAMOS MI LEÓN, QUEREMOS LA COPA🏆.",264,70,2019,1898,334,17.6,107
14,Y dale Olimpia alegría a mi corazón🎶,82,8,2019,1898,90,4.74,36
15,NaNaNaNaNaNaNa NANAY!,25,4,2019,1898,29,1.53,21
16,"JERRRYYYY RICARDOOO🦁🇳🇱

PUM!",33,4,2019,1898,37,1.95,30
17,"No entiendo que los Olimpistas se alteren.

1. Ya sabemos como son. 
2. Ese es el precio de ser el mas grande.

Preocupemonos cuándo no hablen de nosotros, mas bien. Positivismo a 100% en el campamento Olimpia...

¡Juntos! ¡Siempre JUNTOS!🦁🇳🇱

#SomosHonduras",314,67,2019,1898,381,20.07,267
18,OLIMPIA🦁🇳🇱.,72,10,2019,1898,82,4.32,11
19,"Que orgullo este grupo. La historia sigue porque en Olimpia la escribimos en nuestro dia a dia™️. 

¡Juntos! ¡SIEMPRE JUNTOS!🦁🇳🇱

#OlimpiaDNA https://t.co/Ovsa6Bvm0r",289,39,2019,1898,328,17.28,169
20,BLAH BLAH BLAHHHH🤫🤫🤫🤫,44,5,2019,1898,49,2.58,21
21,VAMOS BENGUUU PUM!💥,71,4,2019,1898,75,3.95,19
22,"Eternamente orgulloso. Nos demuestra la importancia de enfócarnos en los problemas núcleares, en lugar de los detalles y sabores de las soluciones. No perdamos la brújula ni por orgullo ni por populismo.

Símbolo de ese 'norte', en los 8 centros Teletón en Honduras: JRFS. https://t.co/V6no1LiyjF",159,11,2019,1898,170,8.96,298
23,Solo quejas.. Acá la realidad. https://t.co/4Q3tIVdYJn,273,60,2019,1898,333,17.54,54
24,"44 puntos. Seguimos haciendo historia. 

¡Juntos, siempre juntos!🦁🇳🇱",184,29,2019,1898,213,11.22,70
25,44.,46,7,2019,1898,53,2.79,3
26,FERRARI VAMOS!,29,1,2019,1898,30,1.58,14
27,"Que hoy quede para la historia. 

🎶¡En la costa nos quieren porque somos el mejor!",100,7,2019,1898,107,5.64,84
28,"Me pongo de pié por las palabras de @allanfajardo29 en Fútbol a Fondo hace unos instantes. 👏

@DeportesTVC",49,2,2019,1898,51,2.69,108
29,"Hay buenas noticias🏥🙏🏼.

Seguimos adelante. ¡Vamos Olimpia!

@MejiaPaton",185,26,2019,1898,211,11.12,76
30,"Mas que orgulloso de este equipo. Seguimos rugiendo paso a paso.

Hoy campeón de las vueltas. La otra semana por el record de puntos. Y con eso a conquistar esa pentagonal e ir por el campeonisimo.

Somos Olimpia. Juntos, siempre juntos🦁🇳🇱.",193,30,2019,1898,223,11.75,244
31,Patón como: 🤷🏻‍♂️,43,4,2019,1898,47,2.48,17
32,"🦁🇳🇱

¡Juntos! ¡Siempre Juntos! 

A firmar nuestro nombre en esto. https://t.co/eA6u3cV58s",237,30,2019,1898,267,14.07,93
33,"Ambiente de final, ambiente de record en vueltas, ambiente de liderato, ambiente de 'estoy en todas y me merezco esta', ambiente de volver a casa. 

Mañana mas que nunca, juntos. Siempre juntos. https://t.co/ssmvCEWu2U",175,29,2019,1898,204,10.75,220
34,"De pié👏🏼. 

Grande el Choco, desde la casa le deseamos lo mejor siempre. https://t.co/ujZLBjcBCq",93,11,2019,1898,104,5.48,98
35,"No bajamos los brazos jamás. Y siempre llevaremos estos colores con orgullo. Ahora a cerrar estos dos juegos con la grandeza que se le debe a nuestra historia.

Somos Olimpia.

¡Juntos! ¡SIEMPRE JUNTOS! 🦁❤️.",124,11,2019,1898,135,7.11,211
36,¡Estas loco Maidanaa🎩!,160,18,2019,1898,178,9.38,22
37,"GOLAZO BENGUUU.

Y RUGEEEEEE LEEEEÓN MAS QUE NUNCA❤️🦁.",64,9,2019,1898,73,3.85,56
38,juntos. siempre juntos. https://t.co/QB4w2gWdM7,180,28,2019,1898,208,10.96,47
39,"hay 📶...

¡J! ¡SJ! https://t.co/pkvZ5L1rko",33,3,2019,1898,36,1.9,44
